"","id","order_id","order","type","x","y","vol","sam"
"2193",15,2,"type_2","kr",12.4421459762805,8.55137947530838e-05,0.00455558078131047,33
"2194",16,2,"type_2","kr",18.4421459762805,8.55137947530838e-06,0.00455558078131047,33
"2195",17,2,"type_2","kx",0,1.19878939364455e-05,0.00455558078131047,33
"2196",18,2,"type_2","kx",9.44214597628048,1.19878939364455e-05,0.00455558078131047,33
"2197",19,2,"type_2","kx",11.4421459762805,1.30691224139017e-05,0.00455558078131047,33
"2198",20,2,"type_2","kx",19.4421459762805,1.30691224139017e-05,0.00455558078131047,33
"2199",21,3,"type_3","kr",0,0.00023062259977633,0.00544325105881123,33
"2200",22,3,"type_3","kr",6.44214597628048,0.00023062259977633,0.00544325105881123,33
"2201",23,3,"type_3","kr",8.44214597628048,0.000100249063365192,0.00544325105881123,33
"2202",24,3,"type_3","kr",10.4421459762805,0.000100249063365192,0.00544325105881123,33
"2203",25,3,"type_3","kr",12.4421459762805,8.53123908427353e-05,0.00544325105881123,33
"2204",26,3,"type_3","kr",18.4421459762805,8.53123908427353e-06,0.00544325105881123,33
"2205",27,3,"type_3","kx",0,1.48168031127166e-05,0.00544325105881123,33
"2206",28,3,"type_3","kx",9.44214597628048,1.48168031127166e-05,0.00544325105881123,33
"2207",29,3,"type_3","kx",11.4421459762805,1.49682108342484e-05,0.00544325105881123,33
"2208",30,3,"type_3","kx",19.4421459762805,1.49682108342484e-05,0.00544325105881123,33
"2209",31,4,"type_4","kr",0,0.000230133353569817,0.00623792626677491,33
"2210",32,4,"type_4","kr",6.44214597628048,0.000230133353569817,0.00623792626677491,33
"2211",33,4,"type_4","kr",8.44214597628048,0.000100054774980077,0.00623792626677491,33
"2212",34,4,"type_4","kr",10.4421459762805,0.000100054774980077,0.00623792626677491,33
"2213",35,4,"type_4","kr",12.4421459762805,8.51464848522074e-05,0.00623792626677491,33
"2214",36,4,"type_4","kr",18.4421459762805,8.51464848522074e-06,0.00623792626677491,33
