"","z","type","suf","id","rep"
"13957",-8,2,0.0515161473993822,73,3
"13958",-7,1,0.0269205715178609,73,3
"13959",-7,2,0.0262875714494895,73,3
"13960",-6,1,0.031312676352463,73,3
"13961",-6,2,0.0809831481349632,73,3
"13962",-5,1,0.0318619267378588,73,3
"13963",-5,2,0.045381590111445,73,3
"13964",-4,1,0.0253605149246925,73,3
"13965",-4,2,0.0851326949071413,73,3
"13966",-3,1,0.0266459181911534,73,3
"13967",-3,2,0.0765714814767873,73,3
"13968",-2,1,0.0176913097208218,73,3
"13969",-2,2,0.0622293119893912,73,3
"13970",-40,1,1.52410827529307e-05,73,5
"13971",-39,1,2.13596290718829e-05,73,5
"13972",-38,1,2.32486856057016e-05,73,5
"13973",-37,1,3.16473090875189e-05,73,5
"13974",-36,1,5.03561938248356e-05,73,5
"13975",-35,1,4.85554262793038e-05,73,5
"13976",-34,1,8.28568699189637e-05,73,5
"13977",-33,1,0.000151420547387328,73,5
"13978",-32,1,0.000117711914909449,73,5
"13979",-31,1,0.000296602734407017,73,5
"13980",-30,1,0.000400301028576323,73,5
"13981",-29,1,0.000406596600953068,73,5
"13982",-28,1,0.000717028891889554,73,5
"13983",-27,1,0.001066756520884,73,5
"13984",-26,1,0.00136295637360467,73,5
"13985",-25,1,0.00155146916002271,73,5
"13986",-24,1,0.00284500010378634,73,5
"13987",-23,1,0.00318627053486097,73,5
"13988",-22,1,0.00501696369062385,73,5
"13989",-21,1,0.00555022428843425,73,5
"13990",-20,1,0.00340368569734244,73,5
"13991",-19,1,0.00754662629178775,73,5
"13992",-18,1,0.00885567048678506,73,5
"13993",-17,1,0.0139664735095468,73,5
"13994",-16,1,0.00990050798455063,73,5
"13995",-15,1,0.0206505871978659,73,5
