"","id","seminal_a","seminal_a_sd","seminal_la","seminal_la_sd","seminal_lb","seminal_lb_sd","seminal_ln","seminal_ln_sd","seminal_lmax","seminal_lmax_sd","sb_a","sb_a_sd","sb_la","sb_la_sd","sb_lb","sb_lb_sd","sb_ln","sb_ln_sd","sb_lmax","sb_lmax_sd","lat_a","lat_a_sd","lat_length","lat_length_sd","lat_theta","lat_theta_sd","first_b","max_b","first_s","n_s","delay_b","delay_s","tap_a","tap_la","tap_lb","tap_ln","tap_lmax","tap_r","seminal_r","sb_r","lat_r","lat_lmax","lat_basal_r","first_b_sd","max_b_sd","first_s_sd","n_s_sd","delay_b_sd","delay_s_sd","tap_a_sd","tap_la_sd","tap_lb_sd","tap_ln_sd","tap_lmax_sd","tap_r_sd","seminal_r_sd","sb_r_sd","lat_r_sd","lat_lmax_sd","lat_basal_r_sd","ACCESSION","sample ID","NAME","ORIGIN 1","ORIGIN 2","COORDINATES","NARRATIVE","RECEIVED","SOURCE DATE","COLLECTION SITE","ELEVATION","HABITAT"
"28",28,0.059394433,0.00953522,3.34009985,0.333355805,1.208053665,0.325206378,0.180333935,0.090166968,4.616684975,0.097634056,NA,NA,NA,NA,NA,NA,0.180333935,0.552470951,NA,NA,0.048105733,0.008990508,0.773701116,0.910074216,1.261785299,0.560889164,6.736265077,2,NA,0,0.030234182,NA,0.063106762,17.142637,0.307716195,0.314502671,21.8257465,2.425082944,2.081511556,NA,1.205769493,1.424086585,0.389472467,NA,2.828427125,NA,0,NA,NA,0.002726998,2.056079278,0.306416599,0.151981256,4.37294986,0.485883318,NA,NA,0.499660845,0.086926171,0,"PI 213751",28,"Separation from Stillwell","Oklahoma","United States","34.9550817, -97.2684063","Seeds red. Flour type.",1954,"PRE 03/03/1954","Five Tribes, Oklahoma.",NA,NA
"29",29,0.042368257,0.007420221,1.122051608,0.488550084,0.78599845,0.480527495,0.349742185,0.141800974,3.225287609,1.20948598,NA,NA,NA,NA,NA,NA,0.349742185,0.552470951,NA,NA,0.03560588,0.009317783,0.539933028,0.469670896,1.444915574,0.513521231,7.412459908,3.666666667,NA,0,0.476418555,NA,0.04664138,18.35626757,0.517156577,0.339916696,26.06558367,2.896175963,2.896175963,NA,0.381625425,0.961859667,0.480823112,0.384004368,2.081665999,NA,0,0.306715968,NA,0.006937345,3.436017944,0.443907667,0.073295931,5.505427984,0.61171422,0.61171422,NA,0.183783856,0.064234657,0.07911198,"PI 213754",29,"Binger Blue","Oklahoma","United States","34.9550817, -97.2684063","Seeds blue. Flour type.",1954,NA,"Kiowa Tribe, Oklahoma.",NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552470951,NA,NA,0.042262248,0.009132852,0.673026044,0.667430327,1.331202897,0.409911704,NA,0,NA,0,NA,NA,0.056582339,22.2272321,0.25420987,0.215172738,28.8818575,3.209095278,NA,NA,0.605895004,1.279771333,0.331103609,NA,0,NA,0,NA,NA,0.002976115,2.729299381,0.141307696,0.030319959,2.079878936,0.23109766,NA,NA,0.199256676,0.792171087,0,"PI 213759",30,"Many Horses","North Dakota","United States","47.6201461, -100.540737","Seeds white. Flour type.",1954,NA,"Blackfoot Tribe, North Dakota.",NA,NA
"31",31,0.048864426,0.006089909,1.99937275,1.077333679,1.13378785,0.641229814,NA,NA,3.14353386,1.780785521,NA,NA,NA,NA,NA,NA,NA,0.552470951,NA,NA,0.038797154,0.009198729,0.822365238,0.835740117,1.159601642,0.4020721,7.54437938,1.25,NA,0,0.521653747,NA,0.044546803,12.42912133,1.17997,0.529421648,25.9572285,2.8841365,2.825675833,NA,0.463978595,1.112916606,0.283725203,0.589460327,1.892969449,NA,0,NA,NA,0.008704532,4.752156261,1.234628399,0.326675709,6.791449626,0.754605514,0.441594235,NA,0.39172988,0.848544621,0.094756813,"PI 213760",31,"Onehorn","North Dakota","United States","47.6201461, -100.540737","Seeds white and yellow. Flint type.",1954,NA,"Blackfoot Tribe, North Dakota.",NA,NA
"32",32,0.044654675,NA,0.4023794,NA,0,NA,0.941956011,NA,7.9380274,NA,NA,NA,NA,NA,NA,NA,0.941956011,0.552470951,NA,NA,0.038685557,0.007933457,1.140028592,1.46064591,1.386723294,0.508303545,7.071284618,0.25,NA,0,NA,NA,0.058710852,20.04733975,0.04370173,0.182050658,40.44505075,4.493894528,4.115707,NA,0.723863938,2.881064188,0.141589982,NA,0.5,NA,0,NA,NA,0.001119849,7.132684017,0.08740346,0.019860701,2.709739343,0.301082149,NA,NA,0.380266229,0.930121389,0,"PI 213762",32,"Gehu Yellow","North Dakota","United States","47.6201461, -100.540737","Seeds yellow. Flint type.",1954,NA,"Blackfoot Tribe, North Dakota.",NA,NA
"33",33,0.067032835,NA,1.8397627,NA,0.23999685,NA,0.419992606,NA,4.1797223,NA,0.04853213,NA,1.41204404,NA,0.28761926,NA,0.419992606,0.552470951,1.6996633,NA,0.043919539,0.012297282,0.724462479,0.671616405,1.433649294,0.479212871,8.026798838,0.5,8.604252584,0.5,NA,NA,0.05809545,17.6626355,0.314758655,0.251387094,33.497916,3.721990667,4.294818444,4.294818444,0.486364057,1.56142134,0.419981633,NA,0.707106781,NA,0.707106781,NA,NA,0.009323061,1.767251472,0.196531555,0.125906206,7.29090731,0.810100812,NA,NA,0.093878924,0.075933058,0,"PI 213763",33,"White Thunder","North Dakota","United States","47.6201461, -100.540737","Seeds blue.",1954,NA,"Blackfoot Tribe, North Dakota.",NA,NA
"34",34,0.048446223,0.005231489,4.24397282,4.967771755,3.27048012,3.755785859,0.426086038,0.157378361,7.161989156,7.134706096,0.048760903,0.004344517,2.8285553,NA,3.8468637,NA,0.426086038,0.552470951,3.29433616,2.780712066,0.038546931,0.007986041,0.471722769,0.363394855,1.480999637,0.400271218,6.493778009,2.25,7.509038516,1,0.768218481,1.123826431,0.057204212,17.83305863,0.739158705,0.392413858,37.60312675,4.178125194,4.178125194,3.898280556,0.300701006,0.925531522,0.39748319,2.076538122,1.5,1.032788994,1.154700538,0.961069196,0.742891737,0.002235549,9.97140809,0.66371916,0.105746941,5.916083287,0.657342587,0.657342587,0.989969136,0.141220795,0.115551324,0.015029661,"PI 213765",34,"Potawatomi Mixed","Kansas","United States","38.27312, -98.5821872","Seeds white. Flour type.",1954,NA,"Potawatomi Tribe, Kansas.",NA,NA
"35",35,0.055099932,0.006167285,3.18752585,1.977543403,2.4031122,2.748572283,2.146715404,1.239406716,5.801685267,2.202377235,0.056947899,0.014638131,1.944201867,1.327516595,0.484499753,0.040130323,2.146715404,0.552470951,3.753997025,1.823489021,0.040551872,0.011490552,0.915592915,0.834559193,1.449056451,0.506574273,7.532230754,0.75,7.852681721,1,NA,0.82801787,0.055106833,20.57316,0.137043833,0.210258066,36.4213285,4.046814278,3.953872963,4.048361037,0.62898906,2.024504238,0.464924011,0.537752987,0.5,0.047173312,0.816496581,NA,NA,0.003784628,6.905863082,0.274087665,0.051890145,2.378036542,0.264226282,0.229988618,0.323587604,0.23405322,0.573178873,0.295337318,"PI 213766",35,"Potawatomi White","Kansas","United States","38.27312, -98.5821872","Seeds white. Flint type.",1954,NA,"Potawatomi Tribe, Kansas.",NA,NA
"36",36,0.050136296,0.002969638,13.7110377,NA,0.33902895,NA,1.030236355,0.728487113,9.0248307,8.563731053,0.067547304,0.008526515,NA,NA,NA,NA,1.030236355,0.552470951,2.81705995,1.141367006,0.036971067,0.007641036,0.997742413,0.966790048,1.287596935,0.425666693,6.846353645,0.666666667,8.209379001,0.666666667,NA,0.352131675,0.053782637,21.7631459,0.876673233,0.229170887,34.69504533,3.855005037,3.751163222,4.583900889,0.586888815,1.614122706,0.701649093,1.606821233,0.577350269,NA,1.154700538,NA,NA,0.00317024,3.403777251,0.554551836,0.031050404,7.667458021,0.85193978,1.177668902,NA,0.398589703,1.141191943,0,"PI 213768",36,"Sac Blue","Iowa","United States","41.9216734, -93.3122705","Seeds white and purple. Flour type.",1954,NA,"Sac and Fox Tribe, Iowa.",NA,NA
"37",37,0.06859182,NA,NA,NA,NA,NA,NA,NA,2.1284788,NA,NA,NA,NA,NA,NA,NA,NA,0.552470951,NA,NA,0.039428295,0.0084938,1.386936096,1.265456278,1.443257213,0.410693969,8.276245894,0.333333333,NA,0,NA,NA,0.060537461,22.4538435,3.022473,0.190064565,26.26000533,2.91777837,2.940886667,NA,0.486298614,1.48962923,0.701649093,NA,0.577350269,NA,0,NA,NA,0.005707158,2.871998337,4.274422309,NA,15.81559961,1.757288845,NA,NA,0.484778748,1.924808821,0,"PI 213769",37,"Shoshoni Mixed","Idaho","United States","43.6447642, -114.015407","Seeds white and yellow. Flint type.",1954,NA,"Shoshoni Tribe, Idaho.",NA,NA
