"","Cc","age","sam"
"3346",0.102316121264382,0.4,39
"3347",0.132293130236074,0.5,39
"3348",0.152703021118377,0.6,39
"3349",0.186840047990482,0.7,39
"3350",0.200491675615191,0.8,39
"3351",0.238377211559565,0.9,39
"3352",0.258537673173958,1,39
"3353",0.28061332603711,1.1,39
"3354",0.324691297512973,1.2,39
"3355",0.34294982487192,1.3,39
"3356",0.369329548547067,1.4,39
"3357",0.407743665748639,1.5,39
"3358",0.407743665748639,1.6,39
"3359",0.460909107125767,1.7,39
"3360",0.48169370608842,1.8,39
"3361",0.500509214533345,1.9,39
"3362",0.534279430426928,2,39
"3363",0.563209174978968,2.1,39
"3364",0.588911222500776,2.2,39
"3365",0.613731952867591,2.3,39
"3366",0.64639792394276,2.4,39
"3367",0.671269611726334,2.5,39
"3368",0.699838662715498,2.6,39
"3369",0.71708132382838,2.7,39
"3370",0.752084745982095,2.8,39
"3371",0.768805689804766,2.9,39
"3372",0.805778629441853,3,39
"3373",0.830000051110751,3.1,39
"3374",0.858731710979499,3.2,39
"3375",0.883759354655847,3.3,39
"3376",0.909337378653132,3.4,39
"3377",0.948674425631617,3.5,39
"3378",0.967646059122859,3.6,39
"3379",1.00550597935036,3.7,39
"3380",1.02123724584747,3.8,39
"3381",1.04733773226018,3.9,39
"3382",1.0868176073521,4,39
"3383",1.10228615393207,4.1,39
"3384",1.13376531974175,4.2,39
"3385",1.15846281360725,4.3,39
"3386",1.18564956022121,4.4,39
"3387",1.22864581212869,4.5,39
"3388",1.30025016282998,4.6,39
"3389",1.33170209329911,4.7,39
"3390",1.41376810117574,4.8,39
"3391",1.49608916869016,4.9,39
"3392",1.53765079673007,5,39
"3393",1.69189469685365,5.1,39
"3394",1.77500653538711,5.2,39
"3395",1.94170275516362,5.3,39
"3396",2.02919307685721,5.4,39
"3397",2.12067756372456,5.5,39
"3398",2.26252873154914,5.6,39
"3399",2.33918922447875,5.7,39
"3400",2.4455024322256,5.8,39
"3401",2.59112052364466,5.9,39
"3402",2.72987192392051,6,39
"3403",2.82258955304943,6.1,39
"3404",2.8973833576664,6.2,39
"3405",3.04238304411951,6.3,39
"3406",3.1559014637644,6.4,39
"3407",3.27541432443291,6.5,39
"3408",3.41198490009092,6.6,39
"3409",3.55876463569384,6.7,39
"3410",3.65299534940499,6.8,39
"3411",3.85181019522543,6.9,39
"3412",4.0417236520698,7,39
"3413",4.1226541076524,7.1,39
"3414",4.30064640020675,7.2,39
"3415",4.4878328822556,7.3,39
"3416",4.57883398132883,7.4,39
"3417",4.83424838749747,7.5,39
"3418",4.97694380146135,7.6,39
"3419",5.22085849195829,7.7,39
"3420",5.36212957472825,7.8,39
"3421",5.52674651072942,7.9,39
"3422",5.74715200896472,8,39
"3423",5.88183155749552,8.1,39
"3424",6.06828088970003,8.2,39
"3425",6.22602655117107,8.3,39
"3426",6.39246013142253,8.4,39
"3427",6.69050569144889,8.5,39
"3428",6.93603215240381,8.6,39
"3429",7.14304600993775,8.7,39
"3430",7.3322290311325,8.8,39
"3431",7.51088244062717,8.9,39
"3432",0.0412894900303764,0.2,40
"3433",0.074110326534557,0.3,40
"3434",0.109133266709974,0.4,40
"3435",0.137536774157393,0.5,40
"3436",0.155373804507899,0.6,40
"3437",0.190025093075726,0.7,40
"3438",0.214152393358774,0.8,40
"3439",0.2498416357933,0.9,40
"3440",0.266887651267173,1,40
"3441",0.295062061405369,1.1,40
"3442",0.324237111479959,1.2,40
"3443",0.347316035070604,1.3,40
"3444",0.378846721530388,1.4,40
"3445",0.410776638068244,1.5,40
"3446",0.439499291870262,1.6,40
"3447",0.458689945949144,1.7,40
"3448",0.496685071083761,1.8,40
"3449",0.5185159996203,1.9,40
"3450",0.548976575153997,2,40
"3451",0.571531751119249,2.1,40
"3452",0.6019376186632,2.2,40
"3453",0.632382798105856,2.3,40
"3454",0.647561230780676,2.4,40
"3455",0.683241853877603,2.5,40
"3456",0.713314033742644,2.6,40
"3457",0.740026112173568,2.7,40
"3458",0.770589421353966,2.8,40
"3459",0.802898357296277,2.9,40
"3460",0.841924318793549,3,40
"3461",0.902072219824416,3.1,40
"3462",0.965096088336214,3.2,40
"3463",1.01624408286811,3.3,40
"3464",1.04773474905502,3.4,40
"3465",1.1300631349313,3.5,40
"3466",1.18091632179516,3.6,40
"3467",1.28042939119541,3.7,40
"3468",1.36689243025412,3.8,40
"3469",1.45011037371646,3.9,40
"3470",1.52731320920548,4,40
"3471",1.62355652843411,4.1,40
"3472",1.68873916622851,4.2,40
"3473",1.78847909326144,4.3,40
"3474",1.84541272206395,4.4,40
"3475",1.92307763340664,4.5,40
"3476",1.99402273353683,4.6,40
"3477",2.06406271100805,4.7,40
"3478",2.17577650557616,4.8,40
"3479",2.22702474981351,4.9,40
"3480",2.30800585618862,5,40
"3481",2.37641964804259,5.1,40
"3482",2.44930144751238,5.2,40
"3483",2.5306854380756,5.3,40
"3484",2.62004091402917,5.4,40
"3485",2.70933671978466,5.5,40
"3486",2.79186764097937,5.6,40
"3487",2.86506043963025,5.7,40
"3488",2.95733871355266,5.8,40
"3489",3.05489543804573,5.9,40
"3490",3.20086033105158,6,40
"3491",3.30052693374252,6.1,40
"3492",3.41703632159964,6.2,40
"3493",3.6302826757773,6.3,40
"3494",3.71570746156523,6.4,40
"3495",3.94217981151022,6.5,40
"3496",4.07246407614528,6.6,40
"3497",4.27156264638357,6.7,40
"3498",4.50354438648168,6.8,40
"3499",4.61402530212729,6.9,40
"3500",4.81041488920206,7,40
"3501",5.05594649745404,7.1,40
"3502",5.22823831899847,7.2,40
"3503",5.5055205331024,7.3,40
"3504",5.77802026256884,7.4,40
"3505",6.01713702298531,7.5,40
"3506",6.37959620915518,7.6,40
"3507",6.59643298063342,7.7,40
"3508",6.85902181122219,7.8,40
"3509",7.01216212194757,7.9,40
"3510",7.29174601194729,8,40
"3511",7.6205119575437,8.1,40
"3512",8.06529671347046,8.2,40
"3513",8.44561358423092,8.3,40
"3514",8.77144976096414,8.4,40
"3515",9.23332812892509,8.5,40
"3516",9.75836098802325,8.6,40
"3517",10.1566548446653,8.7,40
"3518",10.5516454173966,8.8,40
"3519",10.9439039185168,8.9,40
"3520",0.00816991368752266,0.2,41
"3521",0.00816991368752266,0.3,41
"3522",0.00816991368752266,0.4,41
"3523",0.0490279170651846,0.5,41
"3524",0.0490279170651846,0.6,41
"3525",0.0490279170651846,0.7,41
